Date,Price,Open,High,Low,Volume
2018-10-17,32437.35,32722.18,32722.18,32418.9,254.81
2018-10-16,32722.18,32413.0,32736.75,32413.0,254.81
2018-10-15,32413.0,32456.98,32474.42,32396.73,254.81
2018-12-10,32456.98,32417.82,32456.98,32335.75,162.36
2018-11-10,32417.82,32382.58,32443.08,32330.67,147.52
2018-10-10,32382.58,32417.7,32466.73,32382.58,134.45
2018-09-10,32417.7,32444.96,32477.47,32336.24,349.53
2018-08-10,32444.96,32383.15,32476.28,32383.15,120.72
2018-05-10,32383.15,32423.57,32424.98,32332.3,166.65
2018-04-10,32423.57,32454.03,32526.7,32395.25,151.14
2018-03-10,32454.03,32711.65,32728.72,32434.67,136.70
2018-02-10,32711.65,32762.34,32815.19,32695.45,184.59
2018-09-28,32766.37,32763.35,32817.46,32661.14,184.53
2018-09-27,32763.35,32963.27,32983.99,32684.66,154.28
2018-09-26,32963.27,33114.44,33202.3,32952.7,172.19
2018-09-25,33114.44,32646.43,33230.46,32646.43,222.95
2018-09-24,32451.27,32540.17,32577.92,32427.54,190.46
2018-09-21,32540.17,32480.89,32784.33,32475.85,330.38
2018-09-20,32480.89,32375.12,32480.89,32330.18,225.93
2018-09-19,32375.12,32350.9,32392.93,32269.75,190.02
2018-09-18,32381.0,32201.98,32381.0,32180.72,269.81
2018-09-17,32201.98,32327.59,32378.72,32201.98,160.67
2018-09-14,32327.59,32022.04,32446.48,32022.04,251.69
2018-09-13,32022.23,32292.79,32321.64,31938.59,173.47
2018-12-09,32292.79,33449.17,33449.64,32269.65,246.88
2018-11-09,33449.17,33607.01,33609.86,33114.12,150.67
2018-10-09,33611.69,34014.49,34014.49,33594.44,137.63
2018-07-09,34037.91,34110.22,34177.85,33667.34,155.95
2018-06-09,34110.22,34414.37,34438.13,34087.26,164.49
2018-05-09,34414.37,34933.68,34963.29,34146.21,200.27
2018-04-09,35013.05,34837.94,34966.72,34837.94,240.46
2018-03-09,34837.5,34848.55,34860.32,33849.14,131.53
